"","Samp","MDS1","MDS2"
"1","1",-0.840555597354506,-0.715817366456495
"2","2",-0.504852655613558,-0.408936205769525
"3","3",-0.082671666516217,-0.436673563034158
"4","4",-0.115627597265102,-0.52223756112013
"5","5",-0.626544357661462,-0.0866937005803073
"6","6",-0.542699841199824,0.113154514590012
"7","7",-0.5403001280079,-0.0582057313321233
"8","8",0.281155511636132,-0.166839771965339
"9","9",0.110573680057409,-0.442582648108194
"10","10",-0.516969482540872,0.0273811139300901
"11","11",-0.33830972373826,0.35081351426516
"12","12",0.442468853577173,-0.364118677195321
"13","13",0.418630191463911,-0.583351863068811
"14","14",0.943319919215704,0.476065462100646
"15","15",0.895994343860643,0.222357835566959
"16","16",1.08108489001255,-0.179659368557421
"17","17",-0.85988577440636,0.98713637503098
"18","18",-0.177205580272956,0.52341090469927
"19","19",-0.0700101147902792,1.01213644152788
"20","20",1.04240512954377,0.252660295476831
